name,type,ownership,city,state,aka,slug
Arifa Polytechnic College,affiliated_college,private_unaided,Nagapattinam,Tamil Nadu,1-46224314772,arifa-polytechnic-college
SRI Venkateshwara Institute of Engineering,affiliated_college,private_unaided,Krishnagiri,Tamil Nadu,1-46224518524,sri-venkateshwara-institute-of-engineering
PARK AMC Polytechnic College,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46224894788,park-amc-polytechnic-college
A.V.V.M SRI Pushpam College(Automous),affiliated_college,private_unaided,Thanjavur,Tamil Nadu,1-46225096375,a-v-v-m-sri-pushpam-college-automous
St. Anne'S College of Engineering and Technology,affiliated_college,private_unaided,Cuddalore,Tamil Nadu,1-46225832132,st-anne-s-college-of-engineering-and-technology
Mohamed Sathak College of ARTS and Science,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46225834824,mohamed-sathak-college-of-arts-and-science
Coimbatore Institute of Engineering and Technology,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46226018336,coimbatore-institute-of-engineering-and-technology
SRI Krishna Institute of Technology,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46227134316,sri-krishna-institute-of-technology-1-46227134316
Sourashtra College,affiliated_college,private_unaided,Madurai,Tamil Nadu,1-46226365994,sourashtra-college
PSG College of ARTS and Science,affiliated_college,government_aided,Coimbatore,Tamil Nadu,1-46224518992,psg-college-of-arts-and-science
Thevanesam Erudhaya Ammal Polytechnic College,affiliated_college,private_unaided,Thoothukudi,Tamil Nadu,1-46224519099,thevanesam-erudhaya-ammal-polytechnic-college
Aarooran Polytechnic College,affiliated_college,private_unaided,Thiruvarur,Tamil Nadu,1-46224729411,aarooran-polytechnic-college
SRI Shanmugha College of Engineering and Technology,affiliated_college,private_unaided,Salem,Tamil Nadu,1-46225305983,sri-shanmugha-college-of-engineering-and-technology
Dhaanish Ahmed Institute of Technology,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46225490218,dhaanish-ahmed-institute-of-technology
PARK College of Engineering and Technology,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46225845964,park-college-of-engineering-and-technology
P.T.R. College of Engineering & Technology,affiliated_college,private_unaided,Madurai,Tamil Nadu,1-46226186256,p-t-r-college-of-engineering-technology
SRI Shakthi Institute of Engineering and Technology,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46226565990,sri-shakthi-institute-of-engineering-and-technology
